Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Uganda,10/10/2020 10:23,1.373333,32.290275,9538,86,5857,3595,20.8521895,,,0.901656532,800,UGA
Ukraine,10/10/2020 10:23,48.3794,31.1656,263105,5010,116861,141234,601.6061871,,,1.904182741,804,UKR
United Arab Emirates,10/10/2020 10:23,23.424076,53.847818,104004,442,94903,8659,1051.565154,,,0.424983654,784,ARE
United Kingdom,10/10/2020 10:23,55,-3,578390,42769,2488,533133,852.0018353,,,7.394491606,826,GBR
Uruguay,10/10/2020 10:23,-32.5228,-55.7658,2251,49,1917,285,64.80071692,,,2.176810307,858,URY
Uzbekistan,10/10/2020 10:23,41.377491,64.585262,60342,498,57221,2623,180.2911387,,,0.825295814,860,UZB
Venezuela,10/10/2020 10:23,6.4238,-66.5897,81696,684,73020,7992,287.2983674,,,0.837250294,862,VEN
Vietnam,10/10/2020 10:23,14.058324,108.277199,1105,35,1024,46,1.135212745,,,3.167420814,704,VNM
West Bank and Gaza,10/10/2020 10:23,31.9522,35.2332,43664,367,36922,6375,855.9192193,,,0.840509344,275,PSE
Western Sahara,10/10/2020 10:23,24.2155,-12.8858,10,1,8,1,1.674116485,,,10,732,ESH
Yemen,10/10/2020 10:23,15.552727,48.516388,2051,593,1329,129,6.876558038,,,28.9127255,887,YEM
Zambia,10/10/2020 10:23,-13.133897,27.849332,15339,336,14439,564,83.43688377,,,2.190494817,894,ZMB
Zimbabwe,10/10/2020 10:23,-19.015438,29.154857,7994,229,6474,1291,53.78482987,,,2.864648486,716,ZWE
